date,county,fips,place,confirmed_cases,note,x,y,population,UPDATED_ON
12/21/2020 0:00:00,Pasadena,,91103: Pasadena,2067,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/20/2020 0:00:00,Pasadena,,91103: Pasadena,2025,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/19/2020 0:00:00,Pasadena,,91103: Pasadena,1974,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/18/2020 0:00:00,Pasadena,,91103: Pasadena,1934,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/17/2020 0:00:00,Pasadena,,91103: Pasadena,1890,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/16/2020 0:00:00,Pasadena,,91103: Pasadena,1824,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/15/2020 0:00:00,Pasadena,,91103: Pasadena,1775,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/14/2020 0:00:00,Pasadena,,91103: Pasadena,1737,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/13/2020 0:00:00,Pasadena,,91103: Pasadena,1733,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/12/2020 0:00:00,Pasadena,,91103: Pasadena,1710,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/11/2020 0:00:00,Pasadena,,91103: Pasadena,1674,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/10/2020 0:00:00,Pasadena,,91103: Pasadena,1651,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/9/2020 0:00:00,Pasadena,,91103: Pasadena,1603,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/7/2020 0:00:00,Pasadena,,91103: Pasadena,1535,,-118.164825,34.166847,28435,1/10/2021 18:19:43
12/6/2020 0:00:00,Pasadena,,91103: Pasadena,1535,,-118.164825,34.166847,28435,1/10/2021 18:19:43
1/11/2021 0:00:00,Pasadena,,91103: Pasadena,2916,,-118.164825,34.166847,28435,1/12/2021 10:01:19
1/12/2021 0:00:00,Pasadena,,91103: Pasadena,2962,,-118.164825,34.166847,28435,1/13/2021 10:01:29
1/13/2021 0:00:00,Pasadena,,91103: Pasadena,3000,,-118.164825,34.166847,28435,1/14/2021 10:01:24
1/14/2021 0:00:00,Pasadena,,91103: Pasadena,3027,,-118.164825,34.166847,28435,1/15/2021 10:01:12
1/15/2021 0:00:00,Pasadena,,91103: Pasadena,3060,,-118.164825,34.166847,28435,1/16/2021 10:01:24
1/16/2021 0:00:00,Pasadena,,91103: Pasadena,3087,,-118.164825,34.166847,28435,1/17/2021 10:01:21
1/17/2021 0:00:00,Pasadena,,91103: Pasadena,3115,,-118.164825,34.166847,28435,1/18/2021 10:01:21
1/18/2021 0:00:00,Pasadena,,91103: Pasadena,3157,,-118.164825,34.166847,28435,1/19/2021 10:01:20
1/19/2021 0:00:00,Pasadena,,91103: Pasadena,3171,,-118.164825,34.166847,28435,1/20/2021 10:01:34
1/20/2021 0:00:00,Pasadena,,91103: Pasadena,3191,,-118.164825,34.166847,28435,1/21/2021 10:01:34
1/22/2021 0:00:00,Pasadena,,91103: Pasadena,3243,,-118.164825,34.166847,28435,1/23/2021 10:01:07
1/23/2021 0:00:00,Pasadena,,91103: Pasadena,3260,,-118.164825,34.166847,28435,1/24/2021 10:01:23
1/24/2021 0:00:00,Pasadena,,91103: Pasadena,3272,,-118.164825,34.166847,28435,1/25/2021 10:01:46
1/10/2021 0:00:00,Pasadena,,91104: Pasadena,1757,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/9/2021 0:00:00,Pasadena,,91104: Pasadena,1757,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/8/2021 0:00:00,Pasadena,,91104: Pasadena,1728,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/7/2021 0:00:00,Pasadena,,91104: Pasadena,1663,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/6/2021 0:00:00,Pasadena,,91104: Pasadena,1621,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/5/2021 0:00:00,Pasadena,,91104: Pasadena,1570,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/4/2021 0:00:00,Pasadena,,91104: Pasadena,1521,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/3/2021 0:00:00,Pasadena,,91104: Pasadena,1478,,-118.123449,34.168028,39178,1/10/2021 18:19:43
1/2/2021 0:00:00,Pasadena,,91104: Pasadena,1470,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/31/2020 0:00:00,Pasadena,,91104: Pasadena,1458,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/30/2020 0:00:00,Pasadena,,91104: Pasadena,1395,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/29/2020 0:00:00,Pasadena,,91104: Pasadena,1361,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/28/2020 0:00:00,Pasadena,,91104: Pasadena,1350,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/27/2020 0:00:00,Pasadena,,91104: Pasadena,1315,,-118.123449,34.168028,39178,1/10/2021 18:19:43
12/26/2020 0:00:00,Pasadena,,91104: Pasadena,1288,,-118.123449,34.168028,39178,1/10/2021 18:19:43
